destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
,Comunidad Valencia,Castellón,Càlig,true,1203401,Edificio en Càlig,12034,Privada,false,Residencial,Sin uso,"Según informan desde <a href=""https://www.inmoalcor.es/recursos/ficha1.php?ID=edificio-venta-calig-calig-32ha8msova1z37024370243209AM01"" target=""_blank"">Alcor Inmobiliaria</a>, se trata de un edificio propiedad de una entidad bancaria y que se vende en su totalidad. Es una estructura para construir 24 apartamentos con 24 plazas de parking, y tiene más de 2.000 m2 distribuidos en dos alturas sobre rasante y sótano.","Calle de Tortosa 5, 12589",40.4576343,0.3536812,"https://www.google.com/maps/@40.4576343,0.3536812,3a,75y,116.23h,88.15t/data=!3m6!1e1!3m4!1ss9QNKac3rQfEl9EnK45eyQ!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_1.jpg,Alcor Inmobiliaria,https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_12.jpg,Alcor Inmobiliaria,https://rtve.es/contenidos/fotos/datos/2023/hormigon/calig_13.jpg,Alcor Inmobiliaria,DatosRTVE,Previo al lanzamiento del proyecto
,País Vasco,Araba,Labastida,true,0102801,Edificio en Labastida,01028,Privada,false,Residencial,Sin uso,"El edificio se encuentra en un solar destinado a la edificación de ocho viviendas unifamiliares adosadas. Fuentes del Ayuntamiento cuentan que el abandono se debe a una mala gestión por parte del promotor, y que en una parcela cercana, ahora también vacía, se iba a proyectar otro bloque. En distintos portales web el edificio aparece a la venta. Las imágenes de Google Maps, de agosto de 2013, ya revelaban el abandono del edificio y desde el consistorio comentan que su estado sigue igual.","Calle de la Horca, 01330",42.5902943,-2.8003244,"https://www.google.es/maps/@42.5902943,-2.8003244,3a,60y,118.23h,89.19t/data=!3m6!1e1!3m4!1sLtAfCQz4vQJdKT_X_MiPyg!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,DatosRTVE,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,El Vendrell,true,4316302,Edificio Palomar,43163,Privada,false,Residencial,Sin uso,"En <a href=""https://www.diaridetarragona.com/costa/los-duenos-del-edificio-palomar-de-el-vendrell-piden-acabar-la-obra-20180129-0063-NSDT201801290063"" target=""_blank""><i>Diari de Tarragona</i></a> explicaban en 2018 que el inmueble, que llevaba más de una década parado, se había convertido en un gran palomar y que los vecinos estaban preocupados por la salubridad y suciedad que estaba generando. De hecho, fueron ellos quienes pidieron la intervención del Síndic de Greuges (el Defensor del Pueblo en Cataluña) para presionar al consistorio, que explicó que los propietarios del inmueble tenían la voluntad de acabar la construcción. Las imágenes más recientes son de Google Maps, de agosto de 2022.","Carrer de l'Abadessa Emma 65, 43700",41.2112638,1.5316662,"https://www.google.com/maps/@41.2112638,1.5316662,3a,75y,193.14h,103.43t/data=!3m6!1e1!3m4!1sk-uHyHeAOU5pNcYX5EQ1wA!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,Anónimo,02/06/2023
,Cataluña,Tarragona,El Vendrell,true,4316301,Edificio polivalente,43163,Pública,false,Otros,Sin uso,"Este edificio, inacabado desde hace más de diez años (2012) en un primer momento por endeudamiento municipal, fue concebido como una residencia de ancianos, según confirman desde el Ayuntamiento de El Vendrell. El consistorio también sopesó construir un centro de día justo al lado, una información de la que se hace eco <a href=""https://www.lavanguardia.com/local/catalunya/20220601/8308390/vendrell-traslada-policia-local-edificio-habia-previsto-casal-ancianos.html"" target=""_blank""><i>La Vanguardia</i></a>. En 2022 se decidió que albergaría las dependencias de la Policía Local, pero de momento no se vislumbra ningún avance; tampoco hay un proyecto en firme, explican desde el ayuntamiento. Las imágenes más recientes en Google Maps son de agosto de 2022.","Cerca de Carrer Roda-Mas Levi 2, 43700",41.2162254,1.5228687,"https://www.google.com/maps/@41.2156574,1.5227536,3a,75y,15.59h,85.03t/data=!3m6!1e1!3m4!1sGB0ywldF0feJgqCBTHiw4Q!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Anónimo,02/06/2023
,Andalucía,Jaén,Mancha Real,true,2305801,Edificio residencial en Mancha Real,23058,Privada,false,Residencial,Sin uso,"En la inmobiliaria <a href=""http://inmuebles.grupoposlo.com/house/2426856-edificio-en-venta-en-mancha-real-de-3323-m2-331600eur-7270931/"" target=""_blank"">Grupo Poslo</a> está a la venta. Desde ahí comentan que la construcción está parada y que es propiedad de una entidad bancaria. No saben detallar desde cuándo está así, probablemente desde la crisis de 2008. Las imágenes en Google Maps, de noviembre de ese mismo año, corroboran esta hipótesis.","Calle Pintor Sorolla 11, 23100",37.787717,-3.6018057,"https://www.google.es/maps/@37.787717,-3.6018057,3a,75y,300.54h,87.58t/data=!3m6!1e1!3m4!1sBpkkD7IbnlH1A_AzPQ4YcA!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_1.jpg,Grupo Poslo,https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_12.jpg,Grupo Poslo,https://rtve.es/contenidos/fotos/datos/2023/hormigon/manchareal_13.jpg,Grupo Poslo,DatosRTVE,Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Pozuelo de Alarcón,true,2811501,Edificio residencial en Pozuelo de Alarcón,28115,Privada,false,Residencial,Sin uso,"Las imágenes de Google Maps permiten ver que el edificio, que parece estar pensado como una vivienda unifamiliar, lleva parado desde al menos mayo de 2008 y que algunos fragmentos que lo tapiaban han desaparecido, según las últimas imágenes disponibles. Por el momento no se conoce más información.","Calle Vitoria 25, 28223",40.4072237,-3.7803529,"https://www.google.com/maps/@40.4072237,-3.7803529,3a,75y,119.39h,90.48t/data=!3m6!1e1!3m4!1sQmHGoZvyiug1oLxURs_2gw!2e0!7i16384!8i8192?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/pozuelo_13.jpg,,Águeda Bejarano,Previo al lanzamiento del proyecto
,Cataluña,Barcelona,Sant Celoni,true,0820201,Edificio residencial en Sant Celoni,08202,Privada,false,Residencial,Sin uso,"Se trata de un edificio residencial que lleva parado desde que estalló la crisis económica de 2007-2008. La única actuación que se ha realizado de forma más reciente es su cubrimiento parcial por motivos de seguridad. Está pendiente de venta y de finalización, como atestiguan algunos portales web.","Calle Dr. Barri i Draper 10, 08470",41.684368,2.4870916,"https://www.google.com/maps/@41.684368,2.4870916,3a,75y,58.9h,115.44t/data=!3m6!1e1!3m4!1sHB4S2hoGI5fUaYsIcDd3pw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,DatosRTVE,Previo al lanzamiento del proyecto
,Aragón,Teruel,Teruel,true,4421601,Edificio residencial en Teruel,44216,Privada,false,Residencial,Sin uso,"Revisando las imágenes de Google Maps de enero de 2009 se puede comprobar que la estructura forma parte de un residencial llamado Santa Bárbara. Entre 2013 y 2015 se construyó parte de lo que persiste en la actualidad, y desde 2018 las obras permanecen paradas.","Calle Monotes 14, 44003",40.3478076,-1.1019874,"https://www.google.es/maps/@40.3478076,-1.1019874,3a,75y,108.6h,89.66t/data=!3m7!1e1!3m5!1sFLWEZ77uaOsNAGD8d3kLzg!2e0!5s20180901T000000!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/teruel_13.jpg,,Centro Territorial RTVE Aragón,Previo al lanzamiento del proyecto
,Cantabria,Cantabria,Torrelavega,true,3908701,Edificio residencial en Torrelavega,39087,Privada,false,Residencial,Sin uso,"Según informa gente de la zona, se trata de un edificio de viviendas que se empezó a construir entre los años 80 y 90, y muchas personas lo han conocido siempre así. David Laguillo, en <a href=""https://www.estorrelavega.com/edificios-fantasma-torrelavega/"" target=""_blank""><i>EsTorrelavega.com</i></a>, apunta a que la paralización en su construcción se debe a que el desarrollo del Plan Parcial Mies de Vega quedó en el aire.","Calle Carlos Pondal 24, 39300",43.3498992,-4.0583125,"https://www.google.com/maps/@43.3498992,-4.0583125,3a,75y,4.46h,111.65t/data=!3m6!1e1!3m4!1s1aoxHyHh3xUHA1O8sZkViA!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega_12.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrelavega.jpg,,Elena Prieto,Previo al lanzamiento del proyecto
,Aragón,Zaragoza,La Muela,true,5018205,Edificio sin terminar,50182,Privada,false,Residencial,Sin uso,Se trata de un bloque de viviendas abandonado y sin finalizar. El histórico de imágenes de Google Maps permite comprobar que lleva en pie desde al menos 2011. El único cambio aparente es el paso del tiempo en sus materiales.,"Ciudad Zaragoza Golf, 50196",41.6113497,-1.0555337,"https://www.google.com/maps/@41.6113497,-1.0555337,3a,75y,288.06h,102.12t/data=!3m6!1e1!3m4!1srXsT2tPE0H8sfIYBXxW7Yg!2e0!7i13312!8i6656?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/lamuela_6.jpg,,,,,,VerificaRTVE,30/03/2023
,Islas Canarias,Santa Cruz de Tenerife,La Matanza de Acentejo,true,3802501,El Esqueleto,38025,Privada,false,Residencial turístico/hotelero,Sin uso,"El mamotreto de Acentejo, también conocido como El Esqueleto, está formado por las enormes estructuras de dos hoteles inacabados de los años 70 del siglo XX. En 2019, el PSOE presentó un nuevo Plan de Costa Acentejo para demoler el mamotreto, según informa <a href=""https://www.eldia.es/tenerife/2019/05/26/nuevo-plan-costa-acentejo-propondra-22629017.html"" target=""_blank""><i>El Día</i></a>. Las imágenes de Google Maps, de abril de 2009, muestra su estado desde hace más de diez años. También Tomáš Souček <a href=""https://es.foursquare.com/v/el-esqueleto/60671570109d2f17b03716dd?openPhotoId=60ded9e958791a0f263f4a27"" target=""_blank"">ha ofrecido una imagen más reciente (de julio de 2021)</a> y afirma que la estructura se mantiene.","Carretera El Caletón 184, 38379",28.4590742,-16.46588,"https://www.google.com/maps/@28.4590742,-16.46588,3a,18.7y,60.54h,91.12t/data=!3m7!1e1!3m5!1swHUAast_eUE_1m3uLiBmBQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DwHUAast_eUE_1m3uLiBmBQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D205.63908%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=es&entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/matanzaacentejo_1.jpg,Tomáš Souček,,,,,Bárbara López,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,true,4390401,El Mirador del Ebro,43904,Privada,false,Residencial,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,false,Residencial turístico/hotelero,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,false,Residencial turístico/hotelero,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,false,Deportivo,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Cataluña,Tarragona,L'Aldea,false,4390401,El Mirador del Ebro,43904,Privada,false,Comercial/ocio,Sin uso,"El proyecto El Mirador del Ebro pretendía crear un gran residencial, tanto turístico como de carácter permanente, además de dar espacio a otros complejos como hotelero, comercial, deportivo y de ocio. El estado actual, según se recoge en <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg y en las imágenes de Google Maps hasta agosto de 2015, es que las obras de urbanización están en diferentes grados de acabado. El <a href=""https://www.diaridetarragona.com/tarragona/los-ayuntamientos-salen-al-rescate-de-los-edificios-zombie-de-la-burbuja-20190321-0014-DRDT201903210014"" target=""_blank""><i>Diari de Tarragona</i></a> informa de que el ayuntamiento del municipio estaba dispuesto a ayudar a dar salida a la obra. Fuentes del consistorio confirman que el proyecto sigue en desuso.","Autopista del Mediterráneo, 43896",40.7297765,0.584417,"https://www.google.com/maps/@40.7297765,0.584417,3a,75y,210.25h,89t/data=!3m7!1e1!3m5!1sPuC1VlQS0pvxrYXuHx-wkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPuC1VlQS0pvxrYXuHx-wkQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D208.03659%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Castilla-La Mancha,Ciudad Real,Ciudad Real,true,1303401,El Reino de Don Quijote,13034,Pública,true,Comercial/ocio,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. El macroproyecto El Reino de Don Quijote fue declarado de Interés municipal por el Ayuntamiento de Ciudad Real y Regional por la Junta de Castilla-La Mancha. Entre los promotores estaba la antigua Caja Castilla-La Mancha, pero también Iberdrola o Avantis. De todo el proyecto se construyó un campo de golf y un lago. Fuentes del consistorio confirman que parte de los terrenos, correspondientes al monte (unas 400 hectáreas), fueron adquiridos en 2022 para ampliar el parque La Atalaya, tal y como informaba <a href=""https://www.latribunadeciudadreal.es/Noticia/Z7ABEC050-01F7-C929-F64BBDEA782EE880/202211/El-Reino-de-Don-Quijote-desde-La-Atalaya"" target=""_blank""><i>La Tribuna de Ciudad Real</i></a>. No obstante, aún se desconoce qué ocurrirá con la parte que quedó parcialmente urbanizada, aunque hay empresas interesadas en adquirirlas.","P-2112, 13005",39.0291581,-3.916068,"https://www.google.com/maps/@39.0291581,-3.9114279,3a,75y,20.38h,94.26t/data=!3m7!1e1!3m5!1sGic0n4e3BEuYI750X_uZeQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DGic0n4e3BEuYI750X_uZeQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D212.06734%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_1.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_12.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_13.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Castilla-La Mancha,Ciudad Real,Ciudad Real,false,1303401,El Reino de Don Quijote,13034,Pública,true,Deportivo,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. El macroproyecto El Reino de Don Quijote fue declarado de Interés municipal por el Ayuntamiento de Ciudad Real y Regional por la Junta de Castilla-La Mancha. Entre los promotores estaba la antigua Caja Castilla-La Mancha, pero también Iberdrola o Avantis. De todo el proyecto se construyó un campo de golf y un lago. Fuentes del consistorio confirman que parte de los terrenos, correspondientes al monte (unas 400 hectáreas), fueron adquiridos en 2022 para ampliar el parque La Atalaya, tal y como informaba <a href=""https://www.latribunadeciudadreal.es/Noticia/Z7ABEC050-01F7-C929-F64BBDEA782EE880/202211/El-Reino-de-Don-Quijote-desde-La-Atalaya"" target=""_blank""><i>La Tribuna de Ciudad Real</i></a>. No obstante, aún se desconoce qué ocurrirá con la parte que quedó parcialmente urbanizada, aunque hay empresas interesadas en adquirirlas.","P-2112, 13005",39.0291581,-3.916068,"https://www.google.com/maps/@39.0291581,-3.9114279,3a,75y,20.38h,94.26t/data=!3m7!1e1!3m5!1sGic0n4e3BEuYI750X_uZeQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DGic0n4e3BEuYI750X_uZeQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D212.06734%26pitch%3D0%26thumbfov%3D100!7i13312!8i6657",https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_1.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_12.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_13.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Castilla-La Mancha,Ciudad Real,Ciudad Real,false,1303401,El Reino de Don Quijote,13034,Pública,true,Residencial,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. El macroproyecto El Reino de Don Quijote fue declarado de Interés municipal por el Ayuntamiento de Ciudad Real y Regional por la Junta de Castilla-La Mancha. Entre los promotores estaba la antigua Caja Castilla-La Mancha, pero también Iberdrola o Avantis. De todo el proyecto se construyó un campo de golf y un lago. Fuentes del consistorio confirman que parte de los terrenos, correspondientes al monte (unas 400 hectáreas), fueron adquiridos en 2022 para ampliar el parque La Atalaya, tal y como informaba <a href=""https://www.latribunadeciudadreal.es/Noticia/Z7ABEC050-01F7-C929-F64BBDEA782EE880/202211/El-Reino-de-Don-Quijote-desde-La-Atalaya"" target=""_blank""><i>La Tribuna de Ciudad Real</i></a>. No obstante, aún se desconoce qué ocurrirá con la parte que quedó parcialmente urbanizada, aunque hay empresas interesadas en adquirirlas.","P-2112, 13005",39.0291581,-3.916068,"https://www.google.com/maps/@39.0291581,-3.9114279,3a,75y,20.38h,94.26t/data=!3m7!1e1!3m5!1sGic0n4e3BEuYI750X_uZeQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DGic0n4e3BEuYI750X_uZeQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D212.06734%26pitch%3D0%26thumbfov%3D100!7i13312!8i6657",https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_1.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_12.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_13.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Castilla-La Mancha,Ciudad Real,Ciudad Real,false,1303401,El Reino de Don Quijote,13034,Pública,true,Residencial turístico/hotelero,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. El macroproyecto El Reino de Don Quijote fue declarado de Interés municipal por el Ayuntamiento de Ciudad Real y Regional por la Junta de Castilla-La Mancha. Entre los promotores estaba la antigua Caja Castilla-La Mancha, pero también Iberdrola o Avantis. De todo el proyecto se construyó un campo de golf y un lago. Fuentes del consistorio confirman que parte de los terrenos, correspondientes al monte (unas 400 hectáreas), fueron adquiridos en 2022 para ampliar el parque La Atalaya, tal y como informaba <a href=""https://www.latribunadeciudadreal.es/Noticia/Z7ABEC050-01F7-C929-F64BBDEA782EE880/202211/El-Reino-de-Don-Quijote-desde-La-Atalaya"" target=""_blank""><i>La Tribuna de Ciudad Real</i></a>. No obstante, aún se desconoce qué ocurrirá con la parte que quedó parcialmente urbanizada, aunque hay empresas interesadas en adquirirlas.","P-2112, 13005",39.0291581,-3.916068,"https://www.google.com/maps/@39.0291581,-3.9114279,3a,75y,20.38h,94.26t/data=!3m7!1e1!3m5!1sGic0n4e3BEuYI750X_uZeQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DGic0n4e3BEuYI750X_uZeQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D212.06734%26pitch%3D0%26thumbfov%3D100!7i13312!8i6657",https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_1.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_12.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,https://rtve.es/contenidos/fotos/datos/2023/hormigon/ciudadreal_13.jpg,Documentación Centro Territorial RTVE Castilla-La Mancha,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
